merchant_id,banner_img_url,merchant_image_url,merchant_name,merchant_days,about_text
mer_30f8b50d,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/shein-online-1-417.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/shein-online-1/logo-128.png,SHEIN,,"Chez SHEIN vous trouverez tous les t-shirts, pulls, jeans les plus stylés."
mer_4957b28a,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/boohooman-online-1-3220.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/boohooman-online-1/logo-128.png,boohooMAN,14j,"boohooMAN propose une large gamme de vêtements pour homme, que ce soit décontractés ou stylés, des manteaux ou des t-shirts"
mer_16f3e98a,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/societe-general-online-1-4278.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/societe-general-online-1.png,SG - Société Générale,1j,"Le site des particuliers SG propose à tous les types de clients des solutions adaptées à leurs besoins (services financiers, crédit à la consommation, assurances, épargne, prêt immobilier...)."
mer_dd6a7352,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/fnac-online-1-9519.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/fnac-online-1/logo-128.png,Fnac,,"Fnac propose un assortiment inégalé de produits culturels et technologiques : livres, CD, DVD, jeux vidéo, son & hifi, photographie, informatique, etc. Retrouvez des millions de références dont plus de 2 millions disponibles à la livraison en 24h !  Si vous êtes pro, rdv sur l'offre Fnac.Pro !"
mer_7bae030d,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/maisons-du-monde-online-1-9457.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/maisons-du-monde-online-1/logo-128.png,Maisons du Monde,,N'hésitez plus et découvrez tous les styles de meubles et accessoires de décoration à prix doux chez Maisons du Monde !
mer_1f6d5832,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/nars-cosmetics-online-2-7698.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/nars-cosmetics-online-2/logo-128.png,Nars Cosmetics,,"Accédez à la gamme complète de cosmétiques, make up et soins NARS. Découvrez les dernières collections, les exclusivités en ligne, les conseils des artistes et les vidéos."
mer_937ee5fc,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/abritel-online-2-8990.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/abritel-online-2.png,Abritel,,"Découvrez Abritel et sa large sélection de résidences de vacances offrant des expériences et des avantages inoubliables, notamment plus d'espace pour se détendre et une intimité accrue, à prix imbattable !"
mer_45a8b963,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/manomano-online-1-3403.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/manomano-online-1/logo-128.png,ManoMano,44j,"ManoMano est la référence en ligne de la maison, du jardin et du bricolage. Depuis 2013, ManoMano vous accompagne dans tous vos projets d’aménagement avec plus de 3 millions de produits et ses communautés de passionnés."
mer_1b458f22,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/h-and-m-online-1-358.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/h-and-m-online-1/logo-128.png,H&M,,"Hennes et Mauritz, plus connu sous le nom de H&M, est une entreprise et chaîne de magasins suédoise de prêt-à-porter pour femme, enfant et homme, fondée en 1947 par Erling Persson."
mer_904e2251,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/notino-online-1-5645.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/notino-online-1/logo-128.png,Notino,,Notino est le plus grand vendeur en ligne de parfums et de produits cosmétiques en Europe.
mer_a5e14907,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/hotels-com-online-2-4008.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/hotels-com-online-2.png,Hotels.com,,Hotels.com propose des prix avantageux sur les reservations d'hotels partout dans le monde.
mer_56a85c97,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/expedia-online-2-1969.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/expedia-online-2.png,Expedia,,"Avec plus de 400 compagnies aériennes, 300 000 hotels et la possibilité de choisir parmi plus de 1,5 millions d'offres de séjours clé en main, Expedia est le site de référence pour réserver vos voyages dans le monde entier."
mer_e61dd35b,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/dyson-online-1-8168.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/dyson-online-1/logo-128.png,Dyson,3j,"Dyson est spécialisée dans les objets d’électroménager. Toujours dans l’optique de faciliter le quotidien, chaque appareil est pensé pour être le plus ergonomique et facile d’utilisation possible."
mer_b20aa3f4,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/lookfantastic-com-online-1-8584.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/lookfantastic-com-online-1.png,LOOKFANTASTIC,,"Découvrez toutes vos marques de beauté favorites sur LOOKFANTASTIC. Soins capillaires, soins de la peau et maquillage."
mer_3512969b,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/ninja-kitchen-online-1-888.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/ninja-kitchen-online-1.png,Ninja Kitchen,2j,"Dépassant les frontières du design et passionnés d’'innovation, nous aspirons à améliorer la vie quotidienne de chacun avec nos produits, qu'il s'agisse d'un mixeur, d'un robot culinaire ou d'un multicuiseur."
mer_f6638b5d,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/courir-online-1-5200.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/courir-online-1/logo-128.png,Courir,,"Avec comme cœur de cible les 15-25 ans, Courir est aujourd’hui l’une des enseignes de référence en matière de sneakers. Commercialisant les marques les plus en vogue telles que Nike, Adidas ou Puma, Courir est à la pointe dans l'univers de la basket."
mer_2f5acf68,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/sncf-internet-online-2-3382.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/sncf-internet-online-2/logo-128.png,SNCF Connect,,"Réservez votre billet de train vers la France et toute l'Europe avec SNCF Connect. Voyagez pas cher avec TGV, Thalys, Eurostar."
mer_8347958f,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/revolut-online-1-3162.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/revolut-online-1.png,Revolut,7j,"Revolut est la banque en ligne qui te permet d'avoir un compte gratuitement. Avec Revolut, tu peux gérer facilement ton budget, bénéficier de remises exclusives sur des grandes marques (Amazon, Nike, Adidas), et dépenser ou faire des retraits à l'étranger sans frais et avec un super taux de change. Pour ouvrir un compte chez Revolut vous devez être âgé d'au moins 18 ans."
mer_ee6963e4,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/stradivarius-online-1-5671.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/stradivarius-online-1.png,Stradivarius,,"Stradivarius est une marque de prêt-à-porter féminin créée en 1994 et appartenant au groupe Inditex (ZARA). Avec comme signe distinctif la clé de sol, Stradivarius c’est un style unique, féminin et trendy qui bouge au rythme de sa propre mélodie."
mer_87b59a85,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/shiseido-online-1-712.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/shiseido-online-1/logo-128.png,Shiseido,,"La Maison Shiseido a été fondée en 1872, dans le quartier de Ginza, au cœur de la ville de Tokyo. Son savoir-faire unique a révolutionné l’univers de la beauté à travers des produits d’exception et des textures ultra sensorielles."
mer_a8b9ffd5,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/yves-rocher-online-1-4556.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/logos/yves-rocher-online-1.png,Yves Rocher,8j,"Précurseur de la cosmétique végétale, Yves Rocher est une référence en matière de soins chez les femmes. Si vous aussi vous voulez prendre soin de votre peau tout en utilisant des produits sains et responsables alors viens découvrir la gamme Yves Rocher."
mer_a932d18f,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/screens/banners/foot-locker-online-1-6567.jpg,https://joko-mobile-app-media.s3.eu-west-1.amazonaws.com/offers/logos/foot-locker-online-1/logo-128.png,Foot Locker,,Footlocker est le premier fournisseur mondial de chaussures et de vêtements de sport.
